Canada,pp30_1_5_Standard_01,,115001,P30
Canada,pp30_1_5_Standard_02,,115002,P30
Canada,pp30_1_5_Standard_03,,115003,P30
Canada,pp30_1_5_Standard_04,,115004,P30
Canada,pp30_1_5_Standard_05,,115005,P30
Canada,pp30_1_5_Standard_06,,115006,P30
Canada,pp30_1_5_Standard_07,,115007,P30
Canada,pp30_1_5_Standard_08,,115008,P30
Canada,pp30_1_5_Standard_09,,115009,P30
Canada,pp30_1_5_Standard_10,,115010,P30
Canada,pp30_1_5_Standard_11,,115011,P30
Canada,pp30_1_5_Standard_12,,115012,P30
Canada,pp30_1_5_Standard_13,,115013,P30
Canada,pp30_1_5_Standard_14,,115014,P30
Canada,pp30_1_5_Standard_15,,115015,P30
Canada,pp30_1_5_Standard_16,,115016,P30
Canada,pp30_1_5_Standard_17,,115017,P30
Canada,pp30_1_5_Standard_18,,115018,P30
Canada,pp30_1_5_Standard_19,,115019,P30
Canada,pp30_1_5_NoDtmf1,,115020,P30
Canada,pp30_1_5_NoDtmf2,,115021,P30
Canada,pp30_1_5_NoDtmf3,,115022,P30
Canada,pp30_1_5_NoDtmf4,,115023,P30
Canada,pp30_1_5_NoDtmf5,,115024,P30
Canada,pp30_1_5_NoDtmf6,,115025,P30
Canada,pp30_1_5_NoDtmf7,,115026,P30
Canada,pp30_1_5_NoDtmf8,,115027,P30
Canada,pp30_1_5_NoDtmf9,,115028,P30
Canada,pp30_1_5_NoDtmf0,,115029,P30
Canada,pp30_1_5_NoDtmfStar,,115030,P30
Canada,pp30_1_5_NoDtmf#,,115031,P30
Canada,pp30_1_5_NoDtmfs,,115032,P30
Canada,pp30_1_5_NoRtd1,,115033,P30
Canada,pp30_1_5_NoRtd2,,115034,P30
Canada,pp30_1_5_NoRtd3,,115035,P30
Canada,pp30_1_5_NoRtds,,115036,P30
Canada,pp30_1_5_NoFax1100,,115037,P30
Canada,pp30_1_5_NoFax2100,,115038,P30
Canada,pp30_1_5_NoFaxs,,115039,P30
Canada,pp30_1_5_SpeechPow-4.5,,115040,P30
